"species","穂全体の重量_平均","穂全体の重量_中央値","穂全体の重量_分散","穂全体の重量_標準偏差","小穂数/穂_平均","小穂数/穂_中央値","小穂数/穂_分散","小穂数/穂_標準偏差","穎果数/穂_平均","穎果数/穂_中央値","穎果数/穂_分散","穎果数/穂_標準偏差","穎果の総重量/穂_平均","穎果の総重量/穂_中央値","穎果の総重量/穂_分散","穎果の総重量/穂_標準偏差","穎果一粒あたりの重量＝(穂あたり穎果の総重量/(穂あたり穎果数)_平均","穎果一粒あたりの重量＝(穂あたり穎果の総重量/(穂あたり穎果数)_中央値","穎果一粒あたりの重量＝(穂あたり穎果の総重量/(穂あたり穎果数)_分散","穎果一粒あたりの重量＝(穂あたり穎果の総重量/(穂あたり穎果数)_標準偏差","穂重量に占める穎果の重量の割合＝(穂あたり穎果の総重量)/(穂全体の重量)_平均","穂重量に占める穎果の重量の割合＝(穂あたり穎果の総重量)/(穂全体の重量)_中央値","穂重量に占める穎果の重量の割合＝(穂あたり穎果の総重量)/(穂全体の重量)_分散","穂重量に占める穎果の重量の割合＝(穂あたり穎果の総重量)/(穂全体の重量)_標準偏差","脱粒している小穂の数(＝ばらけた小穂の塊の数)_平均","脱粒している小穂の数(＝ばらけた小穂の塊の数)_中央値","脱粒している小穂の数(＝ばらけた小穂の塊の数)_分散","脱粒している小穂の数(＝ばらけた小穂の塊の数)_標準偏差","穂の脱粒率＝(小穂の塊の数-1)/(穂あたり小穂数)_平均","穂の脱粒率＝(小穂の塊の数-1)/(穂あたり小穂数)_中央値","穂の脱粒率＝(小穂の塊の数-1)/(穂あたり小穂数)_分散","穂の脱粒率＝(小穂の塊の数-1)/(穂あたり小穂数)_標準偏差"
"栽培種",4.48976744186046,2.16,145.315568992248,12.0546907464376,37.6227525389302,22,12221.9324243445,110.552849010528,58.8894677997209,33,30088.3469373755,173.45992890975,3.84093023255814,1.79,106.689403875969,10.3290562916449,0.905581395348838,0.05,28.410453820598,5.33014575978913,2.45023255813954,0.78,48.3839594684385,6.95585792468755,2.53488372093023,1,52.6832779623477,7.2583247352504,0.813953488372093,0,28.4883720930233,5.33744996164116
"野生種",2.85976744186047,1.08,62.4383404208195,7.90179349393665,27.2824218223256,15,6233.09307738638,78.9499403254137,35.6863510137907,21,10634.2837566354,103.12266364207,1.74325581395349,0.53,34.7111891472868,5.89162024805459,0.859767441860465,0.03,28.4303451827243,5.33201136370922,1.6206976744186,0.5,33.0207209302325,5.74636588899737,20.1506497056279,12,3256.36496679329,57.0645684010077,1.9606976744186,0.71,38.5590828349945,6.20959602832539
